ActivityCode,ActivityName,ActivityType,Provider,Active,Language,EstimatedDuration,EstimatedCredits,ActivityDescription,Topic,LaunchURL
Resource_View Forklift Instructor List,View Forklift Instructor List,Document,Online Content,1,,,,Contact a forklift instructor to schedule a time for a Forklift Operating Skills Test (No Recertification; Remediation if needed),Cloud Services,https://google.com
Resource_View Forklift Instructor List for Remediation,View Forklift Instructor List for Remediation,Document,Online Content,1,,,,Contact a forklift instructor to schedule a time for a Forklift Operating Skills Test (No Recertification; Remediation if needed),Collaboration,https://google.com
Resource_View Overhead Crane Evaluation Form,View Overhead Crane Evaluation Form,Document,Online Content,1,,,,Form that instructors use to evaluate your operating skills (No Recertification; Remediation if needed),Skills for Effective Collaboration,https://google.com
Resource_View Overhead Crane Instructor List,View Overhead Crane Instructor List,Document,Online Content,1,,,,Contact an overhead crane instructor to schedule a time for an Overhead Crane Operating Skills Test (No Recertification),Communications Skills,https://google.com
Resource_View Scissor & Boom Lift Evaluation Form,View Scissor & Boom Lift Evaluation Form,Document,Online Content,1,,900,,Form that instructors use to evaluate your operating skills.,Business Operations,https://google.com
Resource_View Scissor & Boom Lift Instructor List,View Scissor & Boom Lift Instructor List,Document,Online Content,1,,,,Contact a scissor & boom instructor to schedule a time for a Scissor & Boom Operating Skills Test (No Recertification),Communication Essentials,https://google.com
Safety_Equipment Design Safety Check Sheet,Equipment Design Safety Check Sheet,Document,Online Content,0,,,,Safety check sheet for machinery and equipment,Cisco,https://google.com
Safety_Global Machine Safety Standard,Global Machine Safety Standard,Document,Online Content,1,,1800,, Global safety standards for machines (this training complies with AGGJ and AGGNA requirements),Browsers & Operating Systems,https://google.com
SCP_Resource_5S_Scorecard,5S Scorecard,Document,Online Content,1,,,,"The 5S Score Card is used to audit an area before, during and after a 5S Project (or after a new process or machine is installed). There are 6 sections that are measured (5S+1Y) on a scale of 1-5 to determine the level of 5S that the area fall within (Bronze, Silver, Gold, Platinum).",Cloud Career Journey,https://google.com
SCP_Resource_Check_Standard_Sheet,Check Standard Sheet,Document,Online Content,1,,,,The Check Standard sheets are used to determine standard methods in a certain department or at a specific process.,Business Skills,https://google.com
SCP_Resource_Floor_Label_Template,Floor Label Template,Document,Online Content,1,,,,Template to be used for floor labels during the 5S Project,Cal/OSHA,https://google.com
SCP_Resource_Kaizen_Form,Kaizen Form,Document,Online Content,1,,,,"The Kaizen submission form is a tool used for continuous improvement throughout AGG. Once a Kaizen form is submitted, the submitter's supervisor or manager will score the submission and will determine if the idea can be implemented and/or Yokoten.",Certifications,https://google.com
SCP_Resource_PFU,Problem Follow Up Sheet,Document,Online Content,1,,,,"Also known as a PFU, these are used throughout the 5S Projects. Typically there are multiple problems identified from the outset of a 5S Project which are delegated to Production Team Members and others within the department to handle. Keep the PFU sheet at the area being 5S'd and visible to all participating members.",Choose a Learning Journey that Fits my Goal,https://google.com
SCP_Resource_PM_Sheet,Preventive Maintenance Sheet,Document,Online Content,1,,,,"Also known as a PM sheet, this may be used in your department for 5S Projects",Business,https://google.com
SCP_Resource_Powerpoint_Instructions,PowerPoint Helpful Instructions,Document,Online Content,1,,,,Helpful tips and tricks to use in PowerPoint,Cisco Teams,https://google.com
SCP_Resource_Rack_Labels,Rack Labels,Document,Online Content,1,,,,Template to be used for rack labeling during the 5S Project,Customer Service: Core Concepts & Methods,https://google.com
SCP_Resource_SCP Final Presentation (Sample 1),SCP Final Presentation (Sample 1),Document,Online Content,1,,,,SCP Final Presentation (Sample 1),Managing a Crisis,https://google.com
SCP_Resource_SCP Final Presentation (Sample 2),SCP Final Presentation (Sample 2),Document,Online Content,1,,,,SCP Final Presentation (Sample 2),Customer Success,https://google.com
SCP_Resource_SCP Final Presentation (Sample 3),SCP Final Presentation (Sample 3),Document,Online Content,1,,,,SCP Final Presentation (Sample 3),Core Knowledge,https://google.com
SCP_Resource_SCP Final Presentation (Sample 4),SCP Final Presentation (Sample 4),Document,Online Content,1,,,,SCP Final Presentation (Sample 4),Collaboration Tools,https://google.com
SCP_Resource_SCP Final Presentation (Sample 5),SCP Final Presentation (Sample 5),Document,Online Content,1,,,,SCP Final Presentation (Sample 5),Cloud Security,https://google.com
Social Media_Social Media: The Impact on Youth of Today (Southeast Health)_Library,Social Media: The Impact on Youth of Today (Southeast Health),Document,Online Content,1,,,,"Social media has changed the way all of us communicate. Learn about its impact, both good and bad, on our young people, and help your kids make smart choices.",Data/ML Developer to AI Developer,https://google.com
Test Activity - Document,Test Activity,Document,Online Content,1,,,,Updated Compliance news,Collections,https://google.com
Test Documnet,Test Documnet,Document,Online Content,1,,,,,Cloud Computing,https://google.com
Test file - Carbon Neutral - English,Carbon Neutral - English,Document,Online Content,1,,,,,Cybersecurity Career Journey,https://google.com
Test_Document1,Test_Document1,Document,Online Content,1,,,,,Computer Skills,https://google.com
TEST_policies_procedures,AGG Policies & Procedures *TEST*,Document,Online Content,1,,,,"This link will take you to the AGG Intranet, where you can find AGG policies and procedures including the AGG handbook.",Business Continuity,https://google.com
TEST1.4GB_MP4,SumTerence Performance Test of 1.4GB video file,Document,Online Content,1,,,,,Business Operations,https://google.com
Testing for Redirect Settings,Testing for Redirect Settings,Document,Online Content,1,,,,,Cloud,https://google.com
TestPPT,TestPPT,Document,Online Content,1,,,,,Cloud Security,https://google.com
AGGNA_Design Work Rules_Textbook,Design Work Rules,Document,Online Content,1,,,,Design Work Rules document,Client & Server Administration,https://google.com
AGGNA_How to Read a Drawing,How to Read a Drawing,Document,Online Content,1,,5400,,,Codecademy Subjects,https://google.com
